Timestamp,Decision,College,Major,GPA,Credit Hours (Please include the exact number),Residency,CAP
6/16/21 10:48,Admitted,Moody,Radio-Television-Film,3.89,60,In State,No
6/16/21 13:28,Admitted,Moody,Corporate Communications,3.86,74,In State,No
6/16/21 17:42,Admitted,COLA,English,4,80,In State,No
6/16/21 18:06,Denied,CNS,Computer Science,3.75,60,In State,No
6/16/21 18:06,Denied,CNS,Computer Science,3.94,38,In State,No
6/16/21 18:06,Denied,CNS,Medical Laboratory Science,3.8,61,In State,No
6/16/21 18:06,Admitted,Cockrell,International Relations And Global Studies,3.76,56,In State,No
6/16/21 18:06,Denied,CNS,Computer Science,3.88,32,In State,No
6/16/21 18:06,Denied,COLA,Psychology,3.96,65,Out of State,No
6/16/21 18:06,Denied,COLA,Economics,3.84,26,In State,No
6/16/21 18:06,Denied,Cockrell,Mechanical Engineering,3.76,40,In State,No
6/16/21 18:06,Denied,Moody,Radio-Television-Film,3.67,27,In State,No
6/16/21 18:07,Denied,Cockrell,Chemical Engineering,3.82,58,In State,No
6/16/21 18:07,Denied,COLA,Health And Society,3.866,30,In State,No
6/16/21 18:07,Denied,McCombs,Unspecified Business,4,41,In State,No
6/16/21 18:07,Denied,CNS,Computer Science,4,32,In State,No
6/16/21 18:07,Denied,Moody,Communication And Leadership,3.8,36,In State,No
6/16/21 18:07,Denied,McCombs,Unspecified Business,3.7,70,In State,No
6/16/21 18:07,Denied,CNS,Computer Science,3.92,60,In State,No
6/16/21 18:07,Admitted,COLA,History,3.9,57,In State,No
6/16/21 18:07,Denied,CNS,Mathematics,3.9,30,In State,No
6/16/21 18:07,Denied,COLA,Economics,3.9,32,In State,No
6/16/21 18:07,Denied,CNS,Biology,4,31,In State,No
6/16/21 18:08,Denied,CNS,Computer Science,4,32,In State,No
6/16/21 18:08,Denied,CNS,Computer Science,4,47,In State,No
6/16/21 18:08,Denied,McCombs,Unspecified Business,3.97,40,In State,No
6/16/21 18:09,Denied,Cockrell,Biomedical Engineering,4,36,In State,No
6/16/21 18:10,Admitted,COLA,Government,3.895,60,Out of State,No
6/16/21 18:10,Denied,COFA,Arts And Entertainment Technologies,3.6,36,In State,No
6/16/21 18:10,Denied,CNS,Computer Science,3.84,106,In State,No
6/16/21 18:10,Denied,COLA,Psychology,3.5,60,In State,No
6/16/21 18:10,Denied,COLA,Economics,3.9,32,In State,No
6/16/21 18:12,Denied,Cockrell,Mechanical Engineering,3.92,38,In State,No
6/16/21 18:12,Denied,CNS,Computer Science,3.96,59,In State,No
6/16/21 18:12,Denied,CNS,Computer Science,4,38,Out of State,No
6/16/21 18:14,Denied,COLA,Psychology,3.92,33,In State,No
6/16/21 18:14,Denied,Cockrell,Civil Engineering,3.81,62,In State,No
6/16/21 18:15,Denied,CNS,Physics,3.74,109,In State,No
6/16/21 18:17,Admitted,Cockrell,Electrical Engineering,3.95,70,In State,No
6/16/21 18:17,Admitted,COLA,History,3.9,80,In State,No
6/16/21 18:18,Admitted,Cockrell,Biomedical Engineering,4,75,In State,No
6/16/21 18:18,Denied,Cockrell,Mechanical Engineering,3.98,132,In State,No
6/16/21 18:19,Admitted,COLA,Health & Society,3.78,42,In State,No
6/16/21 18:20,Denied,CNS,Biology,3.89,31,In State,No
6/16/21 18:20,Admitted,COLA,International Relations And Global Studies,4,66,In State,No
6/16/21 18:20,Admitted,COLA,Government,3.9,45,In State,No
6/16/21 18:20,Admitted,COLA,Economics,4,45,In State,No
6/16/21 18:21,Denied,CNS,Nutrition,3.45,39,In State,No
6/16/21 18:21,Admitted,COLA,History,3.89,30,In State,No
6/16/21 18:21,Admitted,COLA,Sustainability Studies,3.94,58,In State,No
6/16/21 18:22,Denied,COLA,Psychology,3.74,31,In State,No
6/16/21 18:22,Admitted,COLA,Government,3.6,44,In State,No
6/16/21 18:23,Admitted,Cockrell,Civil Engineering,3.87,69,In State,No
6/16/21 18:26,Admitted,Moody,Journalism,3.56,80,In State,No
6/16/21 18:26,Admitted,COLA,Psychology,3.855,48,In State,No
6/16/21 18:27,Denied,Cockrell,Mechanical Engineering,3.66,56,In State,No
6/16/21 18:27,Denied,Cockrell,Chemical Engineering,3.77,61,In State,No
6/16/21 18:29,Denied,Moody,Journalism,3.66,33,In State,No
6/16/21 18:30,Admitted,COLA,Government,3.83,45,In State,No
6/16/21 18:30,Denied,McCombs,Unspecified Business,3.94,52,Out of State,No
6/16/21 18:30,Denied,Cockrell,Mechanical Engineering,3.7,62,In State,No
6/16/21 18:34,Denied,McCombs,Unspecified Business,3.96,52,In State,No
6/16/21 18:34,Admitted,COLA,Government,4,42,In State,No
6/16/21 18:36,Denied,Nursing,Nursing,3.86,86,In State,No
6/16/21 18:36,Admitted,COLA,International Relations And Global Studies,3.65,69,In State,No
6/16/21 18:37,Denied,COLA,Economics,3.8,41,In State,No
6/16/21 18:37,Denied,COLA,Sociology,3.3,70,In State,No
6/16/21 18:37,Denied,McCombs,Unspecified Business,4,32,In State,No
6/16/21 18:38,Denied,Moody,Radio-Television-Film,3.45,41,In State,No
6/16/21 18:42,Admitted,COLA,International Relations And Global Studies,3.86,29,In State,No
6/16/21 18:43,Admitted,COLA,Sustainability Studies,3.81,59,In State,No
6/16/21 18:43,Denied,COFA,Arts And Entertainment Technologies,3.6,60,In State,No
6/16/21 18:46,Denied,McCombs,Management Information Systems,3.6,57,In State,No
6/16/21 18:46,Denied,COLA,Economics,3.44,29,In State,No
6/16/21 18:48,Admitted,COLA,Government,3.83,45,In State,No
6/16/21 18:49,Admitted,Cockrell,Aerospace Engineering,3.91,54,In State,No
6/16/21 18:50,Denied,COFA,Studio Art,4,32,In State,No
6/16/21 18:54,Denied,CNS,Computer Science,3.891,57,In State,No
6/16/21 18:55,Denied,COLA,History,3.9,24,In State,No
6/16/21 18:57,Denied,COLA,Psychology,3.92,33,In State,No
6/16/21 18:58,Admitted,COLA,International Relations And Global Studies,4,66,In State,No
6/16/21 18:59,Admitted,COLA,English,3.93,48,In State,No
6/16/21 19:00,Denied,McCombs,Unspecified Business,4,65,In State,No
6/16/21 19:01,Admitted,COLA,English,3.93,48,In State,No
6/16/21 19:01,Admitted,COLA,Government,3.6,44,In State,No
6/16/21 19:02,Admitted,COLA,Government,4,42,In State,No
6/16/21 19:03,Denied,Nursing,Nursing,4,54,Out of State,No
6/16/21 19:03,Denied,COLA,Psychology,3.5,49,In State,No
6/16/21 19:03,Admitted,Cockrell,Electrical Engineering,3.94,55,In State,No
6/16/21 19:08,Admitted,COLA,English,3.77,45,In State,No
6/16/21 19:09,Admitted,COLA,English,3.79,70,In State,No
6/16/21 19:10,Admitted,COLA,Political Science,3.52,60,In State,No
6/16/21 19:18,Admitted,COLA,Sustainability Studies,3.94,58,In State,No
6/16/21 19:18,Admitted,COLA,Government,3.87,34,In State,No
6/16/21 19:18,Denied,Cockrell,Aerospace Engineering,3.75,34,In State,No
6/16/21 19:20,Denied,Moody,Radio-Television-Film,3.8,34,In State,No
6/16/21 19:20,Admitted,COLA,Spanish,3.6,96,Out of State,No
6/16/21 19:24,Denied,COLA,Economics,3.66,36,In State,No
6/16/21 19:25,Denied,CNS,Textile And Apparel,4,25,In State,No
6/16/21 19:28,Denied,CNS,Biochemistry,3.7,62,In State,No
